,ticks,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z,mag_x,mag_y,mag_z,r,theta,phi
5bb60c98-15b5-47eb-b37d-e7e9b15d5af0,30078,738,615,90,57200,118200,-107500,-373,-210,58,964.87,84.65,39.81
34554b83-2a02-46e9-9e0f-88c6357301ba,30097,502,902,297,81600,91900,-66700,-417,-157,51,1074.16,73.95,60.9
056b2820-799d-4b6c-ad4a-f6ed81fd8449,30122,148,939,-12,103600,115900,-73900,-429,-118,89,950.67,90.72,81.04
19f573c9-9eb9-477a-823f-9fcaf1b4156a,30141,106,975,-124,81400,99100,-57500,-414,-115,124,988.55,97.21,83.8
fff7d44f-bb65-4d58-afae-80c10a0a093e,30159,45,867,-393,116000,103600,-66300,-390,-111,149,952.98,114.36,87.03
c4e4f8f2-edda-4f4e-927f-0c5eea92714d,30178,-1,673,-694,144800,113500,-49000,-313,-145,191,966.73,135.88,90.09
0b450574-0797-4d1e-a6a3-27dc59ddd860,30197,39,434,-854,75900,-16700,12800,-240,-169,232,958.75,152.97,84.87
3857ca83-438d-49ce-988f-299568ab61a9,30216,126,334,-884,47800,-1900,9300,-178,-156,262,953.36,158.01,69.33
181d62db-0922-4634-99b2-90cd1ef40f90,30234,30,220,-942,49400,-2900,11900,-114,-153,271,967.81,166.74,82.23
e648e637-46d5-45a7-9455-dce7422fa8de,30253,33,85,-967,28200,-17600,26700,-61,-145,299,971.29,174.61,68.78
f1b01058-42ce-4b73-ae29-45cb5c26c329,30272,7,79,-808,-34100,-114900,58800,-28,-87,323,811.88,174.4,84.94
03ce8b85-c656-412d-b295-e8b61c829971,30291,-287,41,-875,-6700,-113800,24700,-48,81,356,921.78,161.67,171.87
7894b0dd-112c-44ec-a496-3323eecd2ed8,30316,-636,29,-735,8000,-61100,-24100,-36,202,362,972.4,139.1,177.39
aa460bca-a005-45e5-85be-fae7544d088d,30334,-847,54,-562,12900,-43100,-27700,-21,273,341,1017.92,123.51,176.35
70592e8f-beb1-48f8-a2c3-ec1b0c63621f,30353,-854,-117,-473,200,-75500,-35900,-7,334,311,983.23,118.76,-172.2
