,ticks,raw_i,raw_j,raw_k,norm_w,norm_i,norm_j,norm_k,roll,pitch,yaw
bedde3bf-aef2-4778-a61a-3d303bbea62f,-7735,2046,17,3424,0.01,0.51,0.0,0.86,2.22,-61.7,177.23
310c2131-c589-4805-88c1-1bb55af840d8,-7715,1554,-391,4614,0.01,0.32,-0.08,0.94,-10.42,-37.07,-177.81
18f0810c-ba0c-4462-b8f9-a41deec33e5f,-7696,1032,-2310,5953,0.01,0.16,-0.36,0.92,-43.29,-17.54,-174.34
3a40e8a9-7a5a-4b26-9b6b-76b4d5b5ad0d,-7678,-107,-1709,7125,0.01,-0.01,-0.23,0.97,-26.99,1.34,178.41
3d97a0f1-f0a9-4796-b151-2ed719d54797,-7656,-114,-3126,7518,0.01,-0.01,-0.38,0.92,-45.17,1.01,178.25
75467780-8fe9-480e-a974-272179a2e6d2,-7638,1909,-95,5956,0.01,0.31,-0.02,0.95,-1.57,-35.55,179.21
fe34394f-c8b4-4303-a5ab-d8a53f10b57b,-7619,2514,-256,5730,0.01,0.4,-0.04,0.91,-5.6,-47.34,-178.89
0b39024f-d2a8-4523-b320-52c180eb45c2,-7598,3028,-1389,4845,0.01,0.51,-0.24,0.82,-46.57,-58.61,-154.33
07f81d0f-64c6-499e-9ef7-d96df1c367a3,-7579,2376,-3818,6794,0.01,0.29,-0.47,0.83,-63.25,-29.76,-162.89
964785e3-6bf3-4655-b630-1f86fa2c2ae4,-7560,2706,-863,3187,0.01,0.63,-0.2,0.75,-68.29,-71.93,-129.24
46b71037-0a50-4e83-abbf-6182049b7c44,-7540,-994,2073,6292,0.01,-0.15,0.31,0.94,37.1,16.58,-175.71
ee790f8b-64c7-4a7d-aa4e-866ac2d9d924,-7521,204,4598,6380,0.01,0.03,0.58,0.81,71.6,-1.69,177.27
344d8315-e9bb-4670-9d51-713e0bb0fa17,-7503,4416,6817,4005,0.01,0.49,0.75,0.44,131.99,-24.53,125.19
37cfd48b-58d5-40ad-8770-bc8eab9320f2,-7484,7553,6220,-131,0.01,0.77,0.64,-0.01,-179.97,1.96,78.94
0569d972-ae68-40a5-9246-4777f3221323,-7464,8465,4205,-3084,0.01,0.85,0.42,-0.31,-163.17,32.49,57.77
008c5eff-d760-4148-99e0-ea97c1515e6b,-7445,9223,2810,-1292,0.01,0.95,0.29,-0.13,-176.65,14.95,34.33
778635d0-f2ad-4fae-b8a7-3c10e26c316a,-7426,7964,1239,2637,0.01,0.94,0.15,0.31,172.17,-35.51,20.2
e6a362a4-4129-4a74-aea4-63d5e1860f5b,-7405,5121,57,4455,0.01,0.75,0.01,0.66,168.93,-81.9,10.89
a8ba50dc-9907-4e2f-9054-9c934ef172e4,-7386,2185,-1383,5986,0.01,0.34,-0.21,0.92,-29.14,-38.29,-171.01
840a5a17-5fa6-4e36-b677-cbd4832c63f8,-7368,-302,-3263,5058,0.01,-0.05,-0.54,0.84,-65.8,4.16,175.86
3ddb3e25-a7b5-4504-9002-15ce018fde8f,-7346,-6,-5488,3965,0.01,-0.0,-0.81,0.59,-108.3,-0.93,179.21
a3d12139-f38f-4d7a-841d-9c6a8d0bf85e,-7329,1699,-5368,3936,0.01,0.25,-0.78,0.57,-111.09,-17.45,-156.9
7f09bae9-63f9-4057-9afc-361516631b72,-7309,3271,-3784,3653,0.01,0.53,-0.61,0.59,-113.21,-39.48,-124.94
0a784697-125c-4bc6-9b0b-c80056cb2bc3,-7289,4496,-3495,2534,0.01,0.72,-0.56,0.41,-146.64,-36.75,-87.09
fa64e9c9-2bc9-495e-98b1-903c0213cbdb,-7270,3720,-5177,3935,0.01,0.5,-0.69,0.53,-122.06,-32.42,-126.89
3a4207da-b840-4b90-8da6-65a535db0864,-7251,5540,-3378,2539,0.01,0.8,-0.48,0.36,-155.38,-36.13,-70.89
985f518c-c19c-4ac2-9fd8-f9f09567a6bc,-7234,4537,-2652,2219,0.01,0.8,-0.46,0.39,-153.68,-38.94,-70.06
c0210e79-2b04-444d-aaa0-9423841842d4,-7213,6736,3049,3844,0.01,0.81,0.37,0.46,148.31,-47.55,62.96
a41a2aa4-fa89-4f04-9daf-691d86e122a4,-7193,8270,4281,3061,0.01,0.84,0.44,0.31,160.15,-31.17,60.33
9ce592d0-d624-40c0-a8b1-ebd5b9d5739e,-7174,-8508,-4499,-2661,0.01,-0.85,-0.45,-0.27,165.48,-27.62,59.33
41cee089-bbd3-4a59-a6e4-b0814859e4f4,-7154,-7827,-4136,230,0.01,-0.88,-0.47,0.03,-177.54,2.07,55.75
39b9d1cd-3fae-4082-8cf8-a711a7806b9f,-7135,-5791,-6470,2625,0.01,-0.64,-0.71,0.29,-152.89,20.76,101.4
23effe4c-ddc7-44ae-964b-9ea25c37b3f8,-7116,-4586,-6725,4201,0.01,-0.5,-0.73,0.46,-130.26,26.34,123.8
7767e492-b338-4769-a2ad-19d389d19de5,-7099,-2850,-5235,5778,0.01,-0.34,-0.63,0.7,-92.0,27.69,149.64
e339b3fc-2536-4ac2-80ab-46c602fd466a,-7078,-375,-1674,5913,0.01,-0.06,-0.27,0.96,-31.79,6.39,176.93
d78d2d28-5d9e-4e91-ba2c-b8cc625288b3,-7059,1063,-851,5839,0.01,0.18,-0.14,0.97,-16.91,-20.38,-178.17
e20c3de0-9184-4158-8bcf-df5f4e767f15,-7040,1814,-551,6100,0.01,0.28,-0.09,0.95,-10.91,-32.96,-178.02
19cab5c2-8312-40d6-b1f2-1f36a6164494,-7020,2917,-834,4213,0.01,0.56,-0.16,0.81,-38.13,-66.23,-156.07
1fb912d2-9182-4c4e-a9ce-c6322e4aace6,-7000,4966,-1907,2229,0.01,0.86,-0.33,0.39,-161.28,-42.25,-49.3
4e3cad73-d611-4dc8-a54c-3c9a5280a730,-6981,4914,-4403,997,0.01,0.74,-0.66,0.15,-169.22,-13.52,-85.0
4daf22f4-cc71-4750-aea3-d412cc111345,-6963,4556,-1445,2798,0.01,0.82,-0.26,0.51,-153.27,-56.77,-49.83
e63cae1b-41b9-4ec6-8d7e-0260cf94a39b,-6944,4527,22,2611,0.01,0.87,0.0,0.5,177.45,-59.93,2.02
7186af5d-43b5-4fd6-b179-ad3424436d53,-6923,4817,-901,2695,0.01,0.86,-0.16,0.48,-165.62,-56.44,-28.94
5eda592f-0bd9-43d2-8f71-939b432acdf2,-6903,3712,-1804,2746,0.01,0.75,-0.36,0.55,-134.9,-56.83,-77.17
7798664e-2d44-4aad-b918-d8871060d7bc,-6884,3544,-637,2853,0.01,0.77,-0.14,0.62,-145.65,-73.93,-46.57
611327fb-691a-418a-ab92-49cf999bea80,-6865,1856,-1655,3440,0.01,0.44,-0.39,0.81,-63.27,-45.79,-152.3
9dd80a29-f6b4-4418-89c1-a1d2ace404a7,-6846,411,-2087,5253,0.01,0.07,-0.37,0.93,-43.48,-8.17,-178.02
871857fe-80f9-42d1-ae44-0381ace8582a,-6826,426,-1871,6099,0.01,0.07,-0.29,0.95,-34.18,-7.65,-178.89
f2e85d37-dd33-4659-887d-6058a399320d,-6807,326,-2343,5985,0.01,0.05,-0.36,0.93,-42.81,-5.84,-178.99
577964c7-16dd-4e6d-b996-4184a66be1a0,-6789,117,-2250,5783,0.01,0.02,-0.36,0.93,-42.51,-2.44,179.68
66e6c15d-17eb-439f-9037-029c3ee77a24,-6768,255,-1554,5803,0.01,0.04,-0.26,0.97,-29.99,-5.0,-179.89
2cdbe1aa-22b2-4a8f-b5fc-13cdf193bcd3,-6749,217,-1411,5804,0.01,0.04,-0.24,0.97,-27.32,-4.32,179.83
52b4ea6c-aacb-4064-9153-c8a89af83486,-6730,141,-1158,5818,0.01,0.02,-0.2,0.98,-22.5,-2.9,179.37
2c0926df-6578-4a3d-be70-a3bd08b03adc,-6710,42,-847,5834,0.01,0.01,-0.14,0.99,-16.51,-0.98,178.95
7e94641c-634a-43cb-9eb4-ee32eb50c354,-6690,-55,-550,5846,0.01,-0.01,-0.09,1.0,-10.76,0.96,178.72
70efd356-6b6e-491d-8f7a-c6486b100f71,-6671,-135,-307,5852,0.01,-0.02,-0.05,1.0,-6.04,2.57,178.68
055f2f38-7caf-4e52-b4ec-ecd39a1a2281,-6653,-202,-107,5854,0.01,-0.03,-0.02,1.0,-2.14,3.93,178.75
e63662e3-d266-4a03-9fc6-0767511558d3,-6632,-259,63,5854,0.01,-0.04,0.01,1.0,1.18,5.08,178.87
